,frequency,gain,plant,distance
129,137695700.0,-24.58505,succulente,8
130,138762333.3333333,-25.49853,succulente,8
131,139828966.66666666,-26.54431,succulente,8
132,140895600.0,-27.5901,succulente,8
133,141962233.3333333,-28.63589,succulente,8
134,143028866.66666666,-29.68168,succulente,8
135,144095500.0,-30.72746,succulente,8
136,145162133.3333333,-32.3957,succulente,8
137,146228766.66666666,-34.06393,succulente,8
138,147295400.0,-35.73217,succulente,8
139,148362033.3333333,-37.40041,succulente,8
140,149428666.66666666,-39.06864,succulente,8
141,150495300.0,-38.9145,succulente,8
142,151561933.3333333,-38.76035,succulente,8
143,152628566.66666666,-38.60621,succulente,8
144,153695200.0,-38.45206,succulente,8
145,154761833.3333333,-38.29792,succulente,8
146,155828466.66666666,-38.47738,succulente,8
147,156895100.0,-38.65684,succulente,8
148,157961733.3333333,-38.8363,succulente,8
149,159028366.66666666,-39.01576,succulente,8
150,160095000.0,-39.19522,succulente,8
151,161161633.3333333,-40.16667,succulente,8
152,162228266.66666666,-41.13812,succulente,8
153,163294900.0,-42.10957,succulente,8
154,164361533.3333333,-43.08101,succulente,8
155,165428166.66666666,-44.05246,succulente,8
156,166494800.0,-44.2852,succulente,8
157,167561433.3333333,-44.51794,succulente,8
158,168628066.66666666,-44.75068,succulente,8
159,169694700.0,-44.98341,succulente,8
160,170761333.3333333,-45.21614,succulente,8
161,171827966.66666666,-44.35462,succulente,8
162,172894600.0,-43.49309,succulente,8
163,173961233.3333333,-42.63157,succulente,8
164,175027866.66666666,-41.77004,succulente,8
165,176094500.0,-40.90852,succulente,8
166,177161133.3333333,-40.68923,succulente,8
167,178227766.66666666,-40.46994,succulente,8
168,179294400.0,-40.25065,succulente,8
169,180361033.3333333,-40.03136,succulente,8
170,181427666.66666666,-39.81207,succulente,8
171,182494300.0,-39.62627,succulente,8
172,183560933.3333333,-39.44047,succulente,8
173,184627566.66666666,-39.25467,succulente,8
174,185694200.0,-39.06886,succulente,8
175,186760833.3333333,-38.88305,succulente,8
176,187827466.66666666,-38.85884,succulente,8
177,188894100.0,-38.83464,succulente,8
178,189960733.3333333,-38.81043,succulente,8
179,191027366.66666666,-38.78622,succulente,8
180,192094000.0,-38.76202,succulente,8
181,193160633.3333333,-38.84727,succulente,8
182,194227266.66666666,-38.93252,succulente,8
183,195293900.0,-39.01777,succulente,8
184,196360533.3333333,-39.10302,succulente,8
185,197427166.66666666,-39.18826,succulente,8
186,198493800.0,-38.93517,succulente,8
